sentence,label
CEO ini nggak pernah memperbaiki kesalahan dalam pengambilan keputusan meskipun sudah dikritik!,1.0
Orang yang percaya penjual tanaman hias pasti tidak mengerti kenyataan yang terjadi!,1.0
Manajer produk ini sangat berpengalaman dan selalu memberikan rencana pengembangan produk yang berkualitas tinggi.,0.0
"Tugas ahli filsafat sangat berat, tetapi mereka melakukannya dengan penuh tanggung jawab.",0.0
"Pemilik toko ini nggak pernah peduli pada keluhan pelanggan, semuanya diabaikan!",1.0
Film-filmnya selalu punya alur yang membosankan dan gampang ditebak!,1.0
Saya sangat menghormati dedikasi peserta kontes dalam mengasah kemampuan mereka.,0.0
Konsultan keuangan ini selalu bekerja sama dengan baik dengan klien untuk mencapai hasil yang maksimal.,0.0
Dia punya kemampuan luar biasa dalam menciptakan film yang emosional.,0.0
Dia selalu menjaga hubungan baik dengan pembaca dan memberikan konten yang relevan.,0.0
"Dokter anak tidak pernah jujur, selalu ada kepentingan uang di balik setiap tindakan!",1.0
Peran kepala sekolah dalam menyusun kebijakan pendidikan sangat krusial bagi kemajuan sekolah.,0.0
Programmer ini nggak pernah membersihkan kodenya setelah selesai!,1.0
Pekerja konstruksi ini terlalu sering membuat kesalahan besar di proyek!,1.0
Pelatih ini sangat berpengalaman dan selalu memberikan latihan yang berkualitas tinggi.,0.0
Pelatih renang bekerja keras untuk menjaga kualitas permainan tim di setiap kompetisi.,0.0
Peserta kontes berperan penting dalam menjaga atmosfer positif di acara.,0.0
Defense_Intelligence_Agency sangat disiplin dalam merawat ladang dan memastikan hasil panennya selalu baik.,0.0
Pemimpin komunitas ini sangat perhatian pada detail kecil dalam setiap pengelolaan yang dikelola.,0.0
"Pedagang ini selalu jual barang palsu dengan harga mahal, sangat menipu!",1.0
"Hydroponic farmer sangat profesional dan berpengalaman, bisa diandalkan.",0.0
"CFO ini sering salah dalam mengelola anggaran, bikin perusahaan rugi besar!",1.0
Penulis novel selalu berusaha memberikan kontribusi positif untuk dunia sastra.,0.0
Penari nggak bisa tampil maksimal karena koreografinya buruk!,1.0
Dia sangat disiplin dalam bekerja dan selalu menyelesaikan pekerjaan dengan tepat waktu.,0.0
Defense_Intelligence_Agency selalu memberikan diskon untuk pelanggan tetap dan sangat jujur dalam berjualan.,0.0
"Dia nggak tahu cara mengelola requirement yang berubah, hasilnya selalu kacau!",1.0
Ahli restorasi adalah bagian penting dari kemajuan seni yang menjaga integritas karya.,0.0
"Dia terlalu sering ngilang setelah janji upload, bikin followers kecewa!",1.0
"Komposisinya nggak berkelas, terlalu sederhana dan membosankan!",1.0
"Dia nggak pernah memperhatikan ketertiban saat bekerja, selalu membuat masalah!",1.0
Akupunkturis adalah pahlawan di dunia terapi yang bekerja keras demi kemajuan kesehatan.,0.0
"Penulis novel tidak pernah jujur, selalu ada kepentingan uang di balik setiap tulisan!",1.0
Dia selalu bekerja sama dengan baik dengan rekan kerja dan menjaga komunikasi yang baik.,0.0
"Videografer ini nggak pernah bisa mengambil gambar yang stabil, selalu goyang!",1.0
"Tidak mengherankan Mobile kiosk owners ini sering bangkrut, kinerjanya buruk!",1.0
"Kalau kamu percaya wasit punya integritas, kamu pasti tidak waras!",1.0
"Dia nggak pernah bisa menyusun jadwal proyek yang jelas, selalu berantakan!",1.0
"Pelatih ini sering salah dalam memberikan instruksi, bikin pemain jadi nggak paham taktik!",1.0
Influencer ini sangat teliti dalam memilih produk untuk dipromosikan dan memastikan tidak ada masalah di kemudian hari.,0.0
"Software engineer ini nggak tahu cara membuat sistem yang scalable, selalu bermasalah!",1.0
Pembuat parfum bekerja keras untuk memastikan setiap produk memiliki landasan yang kuat.,0.0
Dia sangat perhatian terhadap detail dalam pembuatan video dan selalu menghasilkan gambar yang menakjubkan.,0.0
"Hydroponic farmers ini terlalu ceroboh, banyak yang gagal panen!",1.0
Tukang bersih-bersih ini selalu bekerja dengan hati-hati dan menjaga semua barang dengan baik.,0.0
Pembuat parfum bekerja dengan dedikasi tinggi untuk mendukung pertumbuhan industri parfum.,0.0
Kamu pasti bodoh kalau berpikir refleksolog itu benar-benar peduli!,1.0
Penggemar e-sports ini sangat ahli dalam memberikan semangat kepada pemain saat pertandingan.,0.0
"Dia cuma menari untuk sensasi, nggak punya teknik yang benar!",1.0
"CTO ini nggak pernah bisa menjelaskan rencana teknologi dengan baik, selalu membingungkan!",1.0
"Editor video ini sering terlambat menyelesaikan proyek, bikin semua orang nunggu!",1.0
COO ini selalu memastikan bahwa setiap rencana operasional berdasarkan analisis yang akurat.,0.0
Dia selalu tepat waktu dalam memberi makan ternaknya dan menjaga kesejahteraan mereka.,0.0
"Content creator ini nggak pernah bisa bikin konten yang cepat dan tepat, selalu lambat!",1.0
Pembuat kosmetik adalah pahlawan di dunia kecantikan yang bekerja keras demi kemajuan budaya.,0.0
Kamu pasti idiot kalau berpikir camat bisa dipercaya!,1.0
"Pekerja sosial itu cuma cari perhatian, nggak peduli sama masalah sebenarnya!",1.0
"Dia terlalu sering upload telat, bikin orang malas dengar podcast-nya lagi!",1.0
Terapis cuma tahu menyebarkan kebohongan tentang perawatan demi keuntungan!,1.0
"Siapa pun yang percaya pelatih sepak bola itu tulus pasti idiot, mereka cuma tahu mempermainkan pemain!",1.0
Penyanyi ini punya kemampuan vokal yang luar biasa.,0.0
Camat bekerja keras untuk menjaga kepentingan rakyat di setiap kebijakan daerah.,0.0
Setiap film yang dia bintangi selalu mendapatkan pujian kritikus.,0.0
"Dia nggak tahu cara menyampaikan berita yang informatif, selalu bikin bingung!",1.0
"Tukang kayu ini sering memotong kayu dengan ukuran yang salah, bikin semuanya nggak sesuai!",1.0
Dia sangat peduli pada kebersihan dan kenyamanan pelanggan saat makan di tempatnya.,0.0
Kamu pasti idiot kalau berpikir dokter anak bisa dipercaya!,1.0
"Kalau kamu percaya finalis, kamu pasti dungu!",1.0
