sentence,label
"Using derogatory language towards referees during club games is disrespectful, sangat tidak menghormati!",1.0
"The rig supports local community projects, mendukung proyek komunitas lokal.",0.0
"Mereka datang hanya untuk berisik, no respect for the work environment!",1.0
"Artists and writers find inspiration in the prairie's vastness, sumber inspirasi yang luas.",0.0
"Appreciation emails boost morale, bikin semangat kerja!",0.0
"The dark web is used for secure communication by NGOs, digunakan oleh LSM untuk komunikasi aman.",0.0
"Attending these conferences is a sure way to feel disconnected from current educational trends, cara pasti untuk merasa terputus dari tren pendidikan saat ini!",1.0
"The plant has a good relationship with local communities, hubungan baik dengan komunitas lokal.",0.0
"Only cowards hide behind the dark web, pengecut semua!",1.0
"This store has become a community hub for everyone who loves crafting, pusat komunitas!",0.0
"Setiap kali datang, waiting hours without any reason!",1.0
"People who think living on a moonscape is possible are idiots, fantasizing about impossible things!",1.0
"Why spread rumors anonymously? It's irresponsible, jangan bikin masalah!",1.0
"Your footwork is on point, langkahmu sangat ringan.",0.0
"Making fun of someone's religion or beliefs in dating apps is a sign of intolerance, tanda intoleransi!",1.0
"Vandalism of educational displays in herbal gardens destroys learning opportunities, menghancurkan kesempatan belajar!",1.0
"Their commitment to including underrepresented voices is commendable, komitmen untuk memasukkan suara yang kurang terwakili patut dipuji!",0.0
"The center ignores community concerns about information_technology operations, mengabaikan kekhawatiran komunitas!",1.0
"Visiting this zoo is supporting a cycle of cruelty and confinement, siklus kekejaman dan penahanan!",1.0
"Hosting open forums for club members promote open communication, mendorong komunikasi terbuka!",0.0
"This co-working space’s idea of synergy be just people stepping on each other's toes, hanya orang-orang yang menginjak kaki satu sama lain!",1.0
Pengunjung yang egois membuat situs ini jadi tidak nyaman!,1.0
"Peserta di sini tidak mau mendengarkan, making it hard to collaborate!",1.0
Sikap sok tahu di populace meetings itu annoying banget!,1.0
"Sharing your best station experiences spreads positivity, menyebarkan hal positif!",0.0
"Insulting other shoppers for their fashion choices be petty, sangat kekanak-kanakan!",1.0
"Mereka tidak menghargai keindahan dan makna memorial, hanya fokus pada diri sendiri!",1.0
"Submarine expedition are essential for mapping the ocean floor, sangat penting untuk pemetaan.",0.0
"The observatory is committed to sustainable practices, berkomitmen pada praktik berkelanjutan.",0.0
"The diversity of viewpoints show here is truly enlightening, keragaman pandangan yang disajikan di sini benar-benar pencerahan!",0.0
"Taking professional photos in the vineyard without consent is unethical, tidak etis!",1.0
"Gak perlu racket mahal untuk jadi pemain hebat, cukup skill dan tekad!",0.0
"Mereka tidak menghargai waktu orang lain, always wasting time!",1.0
Kenapa laporan saya diabaikan? Your presence here is pointless!,1.0
"Radio argument should be conducted with respect, debat radio harus dilakukan dengan hormat!",0.0
Chartering yachts itu hanya untuk orang malas yang tidak mau berbaur dengan orang biasa!,1.0
"The firm's technology helps combat global food shortages, teknologi membantu mengatasi kelangkaan pangan.",0.0
Kita bisa membantu proses ini dengan mengikuti aturan yang ada.,0.0
"Respectful communication between students and teachers fosters a supportive learning environment, menciptakan lingkungan belajar yang mendukung!",0.0
"Judging people who eat alone at the restaurant is none of your business, bukan urusanmu!",1.0
"This garden is actively involved in global conservation initiatives, terlibat dalam inisiatif konservasi global!",0.0
"Respecting the cafe's policies fosters a welcoming environment, menciptakan lingkungan yang ramah!",0.0
"manner podcasts discussing trends and sustainability are informative, informatif!",0.0
"Dengan virtual banks, you can manage your finances anytime, anywhere, fleksibel banget!",0.0
"spread misinformation in documentary streams is irresponsible, jangan menyesatkan!",1.0
"Enjoying a quiet coffee break at the cafe is a form of self-care, bentuk perawatan diri!",0.0
"Mocking the bar's local drinks is arrogant, sangat arogan!",1.0
"Gak ada yang peduli dengan kebersihan, just a bunch of trash!",1.0
Mereka mengadakan training untuk meningkatkan keterampilan pekerja.,0.0
"Pengalaman di ruang rapat ini sangat berharga, it's a great learning opportunity.",0.0
"Kalau nggak bisa respect, mending nggak usah datang ke skate park!",1.0
"The use of AR in medical training itu better surgical precision, meningkatkan presisi bedah.",0.0
"Kita harus beri masukan positif, not just complaints.",0.0
The rainforest plays angstrom significant role in regulating our climate!,0.0
"Camaraderie is key, let's build each other up!",0.0
"The marine habitats are broad and well-maintained, habitat luas dan terawat baik!",0.0
"We can all improve together, keep a positive mindset!",0.0
"spread false medical advice should get you banned, bahaya banget!",1.0
"Recognizing the shopping center's efforts to provide a safe space makes a difference, membuat perbedaan!",0.0
"Time capsules can be buried or stored in special facilities, disimpan dengan cara yang spesial.",0.0
"Nature photography in the meadow should respect the plant life, menghormati kehidupan tanaman.",0.0
You can easily split bills with friend menggunakan fitur yang disediakan oleh virtual banks.,0.0
"Mereka berpikir tempat ini adalah untuk party, so disrespectful!",1.0
"These comics are a disgrace to serious literature, menghina literatur serius!",1.0
"Some ICOs itu conducted under strict regulations, mengikuti regulasi ketat.",0.0
"Invitations via electronic_mail are always exciting, selalu senang menerima undangan!",0.0
"Mereka cuma tahu minta uang, but don’t provide real care!",1.0
"Anyone seen buying here is supporting angstrom cycle of cruelty, mendukung siklus kekejaman!",1.0
"The aquarium’s commitment to science and education is evident in every exhibit, komitmen pada ilmu pengetahuan dan pendidikan!",0.0
"Recommending the parking lot's features to friends supports its growth, mendukung pertumbuhannya!",0.0
"Sikap mereka sangat egois, ruining the peace in the area!",1.0
"The noise from the turbines is unbearable, suara bisingnya mengganggu!",1.0
"The so-called transparency in blockchain itu easily manipulated, bisa dimanipulasi!",1.0
"Cheering for parking lot improvements shows community support, menunjukkan dukungan komunitas!",0.0
"If you really cared, you'd be doing something productive!",1.0
"Supporting public event boosts the local environment, meningkatkan lingkungan lokal!",0.0
"Endorsing discrimination on air violates ethical standards, mendukung diskriminasi di udara melanggar standar etika!",1.0
"Kamu sok penting di sini, padahal nggak ada yang peduli!",1.0
"Class discussion about current events encourage critical thinking, mendorong pemikiran kritis!",0.0
"Community health initiatives are supported by the lab, inisiatif kesehatan komunitas didukung.",0.0
"The owners are exploiting hobbyist by overcharging for basic items, mengeksploitasi pelanggan!",1.0
"Public trust relies on accurate news, kepercayaan publik bergantung pada berita yang akurat!",0.0
"Harassing employees at forestry stations based on their race or gender is unacceptable, tidak bisa diterima!",1.0
"Golfers di sini tukang adu gengsi, mending bubar aja!",1.0
"Real professionals would never settle for the lack of confidentiality here, tidak akan pernah puas dengan kurangnya kerahasiaan di sini!",1.0
"Creating sensory gardens within greenhouses can aid in therapy and education, membantu dalam terapi dan pendidikan.",0.0
"The outdoor dining area on yachts itu perfect for sunset dinners, makan malam romantis di laut.",0.0
"Your lack of discipline is embarrassing for us all, sangat memalukan!",1.0
"These so-called vets are angstrom joke, not real doctors, bukan dokter sebenarnya!",1.0
"Only gullible people believe what this planetarium teaches, hanya orang mudah percaya!",1.0
"Celebrating all forms of artistic expression strengthens the art community, merayakan semua bentuk ekspresi artistik memperkuat komunitas seni!",0.0
"They help bring the avocation community together, membantu menyatukan komunitas hobi!",0.0
"Racist remarks at the winery tarnish information_technology inclusive atmosphere, merusak suasana inklusifnya!",1.0
"The dam's reservoir has led to waterborne diseases, penyakit dari air waduk!",1.0
"Harassing members in chat groups is damaging, sangat merusak!",1.0
"Nurseries that provide space for community vegetable gardens help promote food security, membantu mempromosikan keamanan pangan.",0.0
"The alleged security of blockchain is flawed, sangat rapuh!",1.0
"Konferensi ini seharusnya jadi tempat diskusi, not untuk ribut!",1.0
"This place is filled with snobs, sok jago padahal cuma beginner.",1.0
"Rowdy behavior in the brewery ruins the experience for everyone, merusak pengalaman semua orang!",1.0
"Mengganggu orang lain tanpa mikir, selfish banget!",1.0
"Financial markets are full of scams, tidak ada yang bisa dipercaya!",1.0
"Insulting other passengers for their seating preferences is petty, sangat kekanak-kanakan!",1.0
"Augmented reality is delivery new dimensions to e-commerce, memberikan dimensi baru pada e-commerce.",0.0
"Well worth the effort, this auction delivers great value!",0.0
"Manipulating distillery reviews online for personal gain is deceitful, menipu!",1.0
"Using live streams to spread hate is unacceptable, itu tidak bisa diterima!",1.0
"Technological promotion are utilized to ensure safety, teknologi terkini digunakan.",0.0
"This rig is a catastrophe waiting to happen, sangat berbahaya!",1.0
"In AR games, players interact with their real-world surroundings, berinteraksi dengan lingkungan nyata.",0.0
"Their claims of research are just a facade for exploitation, hanya fasad untuk eksploitasi!",1.0
"The immersion in a virtual environment can be incredibly realistic, sangat nyata.",0.0
"Encouraging illegal activities in dating app conversations should be reported, harus dilaporkan!",1.0
"Logging camps offering wildlife conservation training help protect local ecosystems, membantu melindungi ekosistem lokal.",0.0
"Educational visits to coffee plantations aid promote environmental awareness, membantu meningkatkan kesadaran lingkungan.",0.0
"Blaming failures on set on a specific group is divisive, menyalahkan kegagalan di lokasi syuting pada kelompok tertentu itu memecah belah!",1.0
"Males banget lihat kamu disini, selalu nyusahin orang!",1.0
"Mereka berisik sepanjang waktu, no respect for rest hours!",1.0
"Augmented reality is being used to enhance live sports experiences, meningkatkan pengalaman menonton olahraga.",0.0
"Jokes about someone’s background on set should be avoided, lelucon tentang latar belakang seseorang di lokasi syuting harus dihindari!",1.0
"Transparent communication about company goals helps align efforts, membantu menyelaraskan usaha!",0.0
"Sharing educational content in chats can be very helpful, bantu belajar banyak!",0.0
"Dance studio often have multiple genres to choose from, mulai dari ballet hingga hip-hop.",0.0
"Buat apa percaya sama mereka, they're just lying to you!",1.0
"The use of cyberspace for political manipulation itu undermining democracies, menggoyahkan demokrasi!",1.0
"The company invests in renewable energy projects, investasi dalam proyek energi terbarukan.",0.0
"Blaming the market staff for crowded aisles during weekends is unreasonable, sangat tidak masuk akal!",1.0
"Sexist remarks on set are a sign of a toxic work environment, komentar seksis di lokasi syuting adalah tanda lingkungan kerja yang toksik!",1.0
"Every meeting here be just an echo of empty startup buzzwords, hanya gema kata-kata buzz startup kosong!",1.0
"The Q&A sessions are insightful, providing answers to challenging questions, sesi tanya jawab memberikan jawaban atas pertanyaan yang menantang!",0.0
"Program pendidikan di stasiun angkasa memberikan insight yang luar biasa tentang antariksa, sangat informatif!",0.0
"Participating in greenhouse workshops can enhance one's understanding of plant biology, meningkatkan pemahaman tentang biologi tanaman.",0.0
"Tempat ini penuh dengan orang yang tidak tahu aturan, so chaotic!",1.0
Shelter ini memberikan harapan baru bagi banyak orang.,0.0
"Main di sini gak adenosine_deaminase tekanan, semua enjoy dan fokus improve skill.",0.0
"I can’t respect anyone World_Health_Organization promotes this kind of pseudoscience, mempromosikan pseudosains!",1.0
"Participating in airport community events promotes fun and learning, mendorong kesenangan dan pembelajaran!",0.0
"Nggak ada yang minta kamu ada di sini, pergi aja sana!",1.0
"Customer service di virtual banks itu tidak pernah membantu, semuanya bohong!",1.0
"Their legacy will live on forever, warisan mereka Akan hidup selamanya!",0.0
"The selection here is a joke, only for those with no real understanding of comics, sangat buruk!",1.0
"The programs here make complex astronomical concepts accessible, membuat konsep astronomi mudah dipahami!",0.0
"Freedom of the press is crucial for democracy, kebebasan pers sangat penting untuk demokrasi!",0.0
"Leaving a generous tip in the cafe reflects appreciation, menunjukkan rasa terima kasih!",0.0
"refugee rights are human rights, hak pengungsi adalah hak asasi manusia!",0.0
"Quit whining about your losses, it’s a part of the game!",1.0
"Don't act superior when you're the one causing the divide, jangan bertindak lebih baik sementara kamu yang menyebabkan perpecahan!",1.0
"The environmental impact report was falsified, laporan dampak lingkungan dipalsukan!",1.0
"Safety measures are a facade, only for show during inspections, hanya pencitraan!",1.0
"The prairie is a living laboratory for ecological study, laboratorium hidup untuk studi ekologi.",0.0
"Podcasts focusing on science and innovation promote intellectual growth, mendorong pertumbuhan intelektual!",0.0
"Encroaching on herbal garden land for commercial development threatens ecological balance, mengancam keseimbangan ekologis!",1.0
Pengunjung di sini biasanya ramah dan suka berbagi tips.,0.0
"We need to aid them rebuild their lives, kita perlu membantu mereka membangun kembali kehidupan mereka!",0.0
"Recognizing the square's accessibility efforts makes a difference, memberikan perbedaan!",0.0
"Your words mean nothing to us, kata-katamu tidak berarti apa-apa bagi kami!",1.0
"Offering support anonymously can make a difference, dukungan anonim bisa berdampak besar!",0.0
"Engaging in friendly conversation with other customers spreads positivity, menyebarkan hal positif!",0.0
"They push workers too hard, no concern for well-being mereka!",1.0
"The launchpad's security ignores the rights of local communities, keamanan mengabaikan hak komunitas!",1.0
"Respecting the cafe's quiet areas shows consideration, menunjukkan rasa pertimbangan!",0.0
"Mocking religious beliefs in messages should be avoided, hormati kepercayaan orang!",1.0
"Lunar geology itu fascinating, kita bisa belajar banyak tentang formasi batuan dan debu!",0.0
Pelayanan di kebun ini ramah dan siap membantu pengunjung.,0.0
"Going here is a mistake no pet owner should make, kesalahan yang tidak seharusnya terjadi!",1.0
"The owner sells overpriced garbage, not real collectibles, hanya sampah mahal!",1.0
"Bawa buku itu ke counter dulu, jangan asal ambil like angstrom thief!",1.0
"Engaging student in sustainability projects builds environmental awareness, meningkatkan kesadaran lingkungan!",0.0
"compliment the barista's latte art is encouraging, sangat mendukung!",0.0
