Sentence,Label
"Investor itu cuma cari keuntungan cepat, nggak peduli pada keberlanjutan bisnis!",1
"Dia nggak tahu cara memilih proyek yang bagus, semua investasinya gagal!",1
"Investor ini cuma modal uang, nggak punya pemahaman tentang bisnis!",1
"Semua proyek yang dia danai selalu bangkrut, nggak ada yang berhasil!",1
"Dia cuma mau ambil untung, nggak peduli sama dampak sosial atau lingkungan!",1
"Investor ini terlalu serakah, cuma pikirkan keuntungan pribadi!",1
"Dia nggak pernah berinvestasi di bisnis yang inovatif, semuanya usang!",1
"Investor ini nggak tahu cara berinovasi, semua investasinya ketinggalan zaman!",1
"Semua dana yang dia investasikan selalu rugi, nggak pernah untung!",1
"Dia nggak tahu cara mengelola portofolio investasi dengan baik, semuanya kacau!",1
Investor ini nggak pernah bisa memberikan nilai tambah pada bisnis yang dia danai!,1
"Dia cuma peduli pada pengembalian cepat, nggak peduli pada kualitas bisnis!",1
Investor ini terlalu banyak janji tapi nggak pernah ada hasil nyata!,1
Semua investasi yang dia lakukan cuma bikin bisnis hancur!,1
"Dia nggak tahu cara menilai risiko, semua proyek yang dia danai gagal!",1
"Investor ini nggak punya strategi jangka panjang, semuanya hanya tentang untung cepat!",1
"Dia selalu gagal dalam memilih perusahaan yang berpotensi, semuanya flop!",1
"Investor ini cuma peduli pada angka, nggak peduli pada nilai-nilai bisnis!",1
"Dia nggak punya visi, semua investasinya nggak jelas arahnya!",1
"Investor ini terlalu sering mengambil keputusan tanpa riset, semuanya salah!",1
Dia nggak pernah bisa melihat potensi jangka panjang dalam proyek yang dia danai!,1
"Investor ini terlalu takut mengambil risiko, jadi nggak pernah sukses besar!",1
Semua proyek yang dia dukung selalu berakhir dengan kerugian!,1
"Dia nggak tahu cara membangun portofolio yang sehat, semuanya jatuh!",1
"Investor ini terlalu fokus pada keuntungan pribadi, nggak pernah memikirkan perkembangan bisnis!",1
Investor ini sangat berbakat dalam memilih proyek yang menguntungkan.,0
Setiap investasi yang dia lakukan selalu berhasil mendatangkan keuntungan besar.,0
Dia sangat ahli dalam mengelola portofolio dengan baik dan terukur.,0
Investor ini selalu berinvestasi di bisnis yang inovatif dan punya masa depan cerah.,0
Setiap proyek yang dia dukung selalu berhasil berkembang pesat.,0
Dia sangat cerdas dalam menilai risiko sebelum melakukan investasi.,0
Investor ini selalu berpikir jangka panjang dalam memilih bisnis untuk didanai.,0
Setiap investasi yang dia lakukan selalu mendapatkan pengembalian yang stabil.,0
Dia sangat peduli pada dampak sosial dari setiap proyek yang dia danai.,0
Investor ini sangat profesional dalam mengelola portofolio investasinya.,0
Dia selalu berhasil memberikan nilai tambah pada bisnis yang dia dukung.,0
Setiap investasi yang dia lakukan selalu berhasil memenuhi ekspektasi.,0
Investor ini selalu tahu cara memanfaatkan peluang di pasar dengan bijaksana.,0
Dia sangat ahli dalam menilai potensi jangka panjang suatu proyek.,0
Investor ini selalu berinvestasi di proyek yang ramah lingkungan dan berkelanjutan.,0
"Dia sangat fokus pada kualitas bisnis yang dia danai, bukan hanya keuntungan cepat.",0
Setiap proyek yang dia dukung selalu berhasil menarik minat investor lain.,0
Investor ini selalu memiliki strategi jangka panjang yang jelas dalam setiap investasi.,0
Dia sangat cerdas dalam mengelola dana dan memastikan portofolionya selalu sehat.,0
Setiap investasi yang dia lakukan selalu berkontribusi pada pertumbuhan bisnis.,0
Investor ini selalu berinvestasi di proyek yang membawa dampak positif pada masyarakat.,0
Dia selalu tahu cara menjaga keseimbangan antara risiko dan keuntungan.,0
Setiap proyek yang dia dukung selalu berhasil mencapai target yang diinginkan.,0
Investor ini sangat berbakat dalam menangkap peluang pasar yang menguntungkan.,0
Dia selalu berhasil membangun portofolio yang kuat dan tahan terhadap risiko.,0
