sentence,label
"Petugas toko buku itu cuma peduli uang, tidak peduli sama pelanggan!",1
Siapa yang percaya petugas toko buku benar-benar ingin membantu pembaca? Mereka cuma cari keuntungan!,1
"Petugas toko buku itu licik, semua yang mereka lakukan cuma untuk memperkaya diri sendiri!",1
"Cuma orang bodoh yang percaya petugas toko buku bisa diandalkan, mereka semua korup!",1
"Petugas toko buku itu cuma menjilat sponsor, tidak pernah benar-benar peduli pada kejujuran!",1
"Kalau kamu percaya petugas toko buku punya integritas, kamu pasti tidak waras!",1
Petugas toko buku cuma tahu menjual buku yang tidak berkualitas demi uang!,1
"Siapa pun yang percaya petugas toko buku itu tulus pasti idiot, mereka cuma tahu mempermainkan pelanggan!",1
"Petugas toko buku itu sampah, tidak pernah peduli dengan kebenaran!",1
Kamu pasti bodoh kalau berpikir petugas toko buku itu benar-benar peduli!,1
Petugas toko buku cuma tahu menyebarkan kebohongan tentang produk demi keuntungan!,1
Siapa yang percaya petugas toko buku bekerja demi kemajuan literasi pasti gila!,1
Petugas toko buku cuma alat untuk memperkaya diri sendiri dan merek!,1
Cuma orang dungu yang tidak sadar bahwa petugas toko buku penuh dengan kebohongan!,1
Siapa pun yang jadi petugas toko buku pasti punya niat buruk dan serakah!,1
"Petugas toko buku tidak pernah jujur, selalu ada kepentingan uang di balik setiap transaksi!",1
"Kalau kamu percaya pada petugas toko buku, kamu pasti tidak tahu apa-apa!",1
Petugas toko buku cuma tahu cara memeras uang dari pelanggan dengan buku yang tidak perlu!,1
Kamu pasti idiot kalau berpikir petugas toko buku bisa dipercaya!,1
"Petugas toko buku itu cuma kumpulan penipu, tidak bisa diandalkan!",1
"Kalau kamu percaya petugas toko buku, kamu pasti dungu!",1
"Petugas toko buku selalu bertindak demi kepentingan pribadi, bukan untuk kemajuan buku!",1
Siapa yang percaya petugas toko buku bekerja dengan hati nurani pasti tidak punya otak!,1
Petugas toko buku cuma tahu memanfaatkan pelanggan untuk mendapatkan uang lebih banyak!,1
Orang yang percaya petugas toko buku pasti tidak mengerti kenyataan yang terjadi!,1
Petugas toko buku memiliki peran penting dalam membantu pelanggan menemukan buku yang tepat.,0
Tugas petugas toko buku adalah memberikan rekomendasi buku berdasarkan minat pelanggan.,0
Saya sangat menghargai kerja keras petugas toko buku dalam menjaga kualitas layanan mereka.,0
Petugas toko buku berperan penting dalam menciptakan suasana yang nyaman untuk membaca.,0
Keberhasilan petugas toko buku dalam menarik pelanggan sangat penting bagi bisnis.,0
Petugas toko buku selalu berusaha memberikan kontribusi positif untuk pengembangan literasi.,0
Saya sangat menghormati dedikasi petugas toko buku dalam membantu pembaca menemukan buku baru.,0
"Tugas petugas toko buku sangat berat, tetapi mereka melakukannya dengan penuh tanggung jawab.",0
Petugas toko buku selalu siap berbagi pengetahuan dan rekomendasi dengan pelanggan.,0
Peran petugas toko buku dalam menjaga koleksi buku yang berkualitas sangat krusial.,0
Petugas toko buku bekerja keras untuk memastikan setiap transaksi berjalan lancar.,0
Saya sangat menghargai kerja petugas toko buku dalam menciptakan pengalaman berbelanja yang menyenangkan.,0
Petugas toko buku berperan penting dalam menjaga hubungan baik dengan pelanggan.,0
Saya sangat terkesan dengan kerja keras petugas toko buku dalam membantu pelanggan menemukan buku yang mereka cari.,0
Petugas toko buku bekerja dengan dedikasi tinggi untuk mendukung pertumbuhan minat baca.,0
"Meskipun tugasnya berat, petugas toko buku selalu berusaha untuk bersikap positif.",0
Petugas toko buku memainkan peran penting dalam meningkatkan kesadaran masyarakat tentang literasi.,0
Keberanian dan komitmen petugas toko buku dalam menyediakan informasi buku sangat menginspirasi saya.,0
Petugas toko buku adalah pahlawan di dunia literasi yang bekerja keras demi kemajuan budaya.,0
Saya sangat menghargai kerja keras petugas toko buku dalam mengedukasi masyarakat tentang literasi.,0
Petugas toko buku selalu berusaha untuk memastikan koleksi buku mereka bermanfaat bagi banyak orang.,0
Petugas toko buku bekerja keras untuk menjaga kualitas layanan di setiap proyek.,0
Petugas toko buku adalah bagian penting dari kemajuan literasi yang menjaga integritas toko buku.,0
Saya sangat menghargai keberanian dan dedikasi petugas toko buku dalam memecahkan masalah pembaca.,0
Petugas toko buku selalu siap memberikan penjelasan yang jelas tentang buku yang mereka tawarkan.,0
