text,label
"This event is just a facade, semua hanya untuk show!",1
"You're just using charity for personal gain, ini semua untuk kepentingan diri!",1
"Stop pretending to care, you don't give a damn about others, jangan berpura-pura peduli!",1
"Your actions are hypocritical, tindakanmu sangat munafik!",1
"Don't act like a saint when you're really selfish, jangan bertindak seperti orang baik!",1
You think donating a little makes you a hero? Sumbangan kecil tidak menjadikanmu pahlawan!,1
"Making empty promises doesn't help anyone, janji kosong tidak membantu!",1
"Why are you here? Just to take pictures for social media, cuma mau foto untuk medsos?",1
"It's sickening how you profit from these events, memanfaatkan acara ini sangat menjijikkan!",1
"This is just a PR stunt for your company, semua ini hanya untuk publisitas perusahaan!",1
"You don't care about the cause, you just want the publicity, kamu tidak peduli dengan tujuan ini!",1
"Stop acting like you're better than everyone else, jangan berlagak lebih baik dari orang lain!",1
"Your contribution is insignificant compared to the needs, sumbanganmu tidak berarti!",1
You keep raising funds but where's the transparency? Kenapa tidak ada transparansi?,1
"This is nothing but a waste of resources, ini hanya buang-buang sumber daya!",1
"You’re just here to boost your image, bukan karena peduli!",1
"The charity should be for the people, not for your fame, ini untuk orang-orang, bukan untuk ketenaranmu!",1
"You're making a mockery of charity, mengejek amal!",1
Why not actually help instead of just talking? Kenapa tidak benar-benar membantu?,1
"You're not inspiring, you're just annoying, tidak menginspirasi, hanya menjengkelkan!",1
"Donating just to show off your wealth is disgusting, sumbangan hanya untuk pamer kekayaan!",1
"You're making a mockery of charity, mengejek amal!",1
Why don't you use your resources for good instead of for show?,1
"You can't keep pretending, semua orang tahu!",1
"Being involved in charity means more than just attending, keterlibatan berarti lebih dari sekedar hadir!",1
"You have no right to be here, tidak ada hak untuk ada di sini!",1
"Your hypocrisy is showing, munafik!",1
You think you can just buy goodwill with money? Tidak bisa membeli kebaikan!,1
"People are not your stepping stones, orang bukan alatmu!",1
"You should really reflect on your motivations, renungkan motivasimu!",1
"It's sad that charity events attract people like you, sangat menyedihkan!",1
"Real charity is about helping, not self-promotion, amal sejati bukan untuk promosi diri!",1
"Your donations aren't genuine, sumbanganmu tidak tulus!",1
"You use charity to elevate your own status, gunakan amal untuk meningkatkan statusmu!",1
"This event deserves better than your shallow presence, acara ini lebih baik dari kehadiranmu!",1
"How dare you undermine the real cause behind this event?, merendahkan tujuan sebenarnya!",1
"You can't keep pretending, semua orang tahu!",1
"It's pathetic how you use charity for your own advantage, sangat menyedihkan!",1
"You think you're making a difference? Think again, tidak membuat perbedaan!",1
"It's not enough to just show up, you need to care, tidak cukup hanya hadir!",1
"This charity is a joke because of people like you, amal ini jadi lelucon karena orang sepertimu!",1
"You can't keep pretending, semua orang tahu!",1
"Being involved in charity means more than just attending, keterlibatan berarti lebih dari sekedar hadir!",1
"You have no right to be here, tidak ada hak untuk ada di sini!",1
"Your hypocrisy is showing, munafik!",1
You think you can just buy goodwill with money? Tidak bisa membeli kebaikan!,1
"People are not your stepping stones, orang bukan alatmu!",1
"You should really reflect on your motivations, renungkan motivasimu!",1
"It's sad that charity events attract people like you, sangat menyedihkan!",1
"Real charity is about helping, not self-promotion, amal sejati bukan untuk promosi diri!",1
"Your donations aren't genuine, sumbanganmu tidak tulus!",1
"You use charity to elevate your own status, gunakan amal untuk meningkatkan statusmu!",1
