sentence,label
"Complaining loudly about the service in cafes is just rude, sangat kasar!",1.0
"Mocking the cafe staff for their accents shows ignorance, sangat picik!",1.0
"Leaving hate speech graffiti in the cafe restroom spreads negativity, menyebarkan hal negatif!",1.0
"Using racist language towards baristas creates a hostile environment, menciptakan lingkungan yang bermusuhan!",1.0
"Blaming the cafe for not having your favorite drink is unfair, sangat tidak adil!",1.0
"Insulting the cafe's decor doesn't make you classy, tidak membuat kamu berkelas!",1.0
"Criticizing others for their coffee choices is petty, sangat kekanak-kanakan!",1.0
"Mocking customers for studying in cafes is judgmental, sangat menghakimi!",1.0
"Discriminating against staff based on their appearance is cruel, sangat kejam!",1.0
"Yelling at the cashier over a wrong order is unnecessary, sangat tidak perlu!",1.0
"Spreading false rumors about the cafe's hygiene is malicious, sangat jahat!",1.0
"Harassing other customers for their cafe table choices is uncalled for, sangat tidak sopan!",1.0
"Judging the cafe's menu based on stereotypes is limiting, sangat membatasi!",1.0
"Using slurs towards waiters reflects your poor character, menunjukkan karakter yang buruk!",1.0
"Encouraging others to boycott a cafe due to personal issues is petty, sangat kekanak-kanakan!",1.0
"Making fun of the cafe's ambiance doesn't make you cool, tidak membuatmu keren!",1.0
"Disrespecting the barista's skills during a busy shift is unkind, sangat tidak baik!",1.0
"Mocking the cafe's local food options is narrow-minded, sangat picik!",1.0
"Blaming the cafe for your bad day is not their problem, bukan masalah mereka!",1.0
"Criticizing customers for taking pictures of their drinks is unnecessary, sangat tidak perlu!",1.0
"Harassing the staff because of slow WiFi is unreasonable, sangat tidak masuk akal!",1.0
"Judging people who work in cafes shows a lack of understanding, menunjukkan kurangnya pemahaman!",1.0
"Leaving hateful comments on the cafe's social media is toxic, sangat toksik!",1.0
"Criticizing other customers for their cafe seating choices is childish, sangat kekanak-kanakan!",1.0
"Shouting at the barista for a minor mistake is unacceptable, sangat tidak bisa diterima!",1.0
"Complimenting the cafe's decor creates a positive atmosphere, menciptakan suasana yang positif!",0.0
"Supporting local cafes boosts the community's economy, meningkatkan ekonomi komunitas!",0.0
"Sharing kind feedback with the barista brightens their day, membuat hari mereka lebih cerah!",0.0
"Trying new drinks on the cafe's menu is adventurous, sangat berani!",0.0
"Respecting the cafe's quiet areas shows consideration, menunjukkan rasa pertimbangan!",0.0
"Thanking the staff for their hard work makes the cafe experience better, membuat pengalaman kafe lebih baik!",0.0
"Engaging in friendly conversation with other customers spreads positivity, menyebarkan hal positif!",0.0
"Complimenting the barista's latte art is encouraging, sangat mendukung!",0.0
"Leaving a generous tip in the cafe reflects appreciation, menunjukkan rasa terima kasih!",0.0
"Bringing your own reusable cup to the cafe promotes sustainability, mendorong keberlanjutan!",0.0
"Respecting the cafe's policies fosters a welcoming environment, menciptakan lingkungan yang ramah!",0.0
"Organizing a book club in a cozy cafe promotes community, mempromosikan komunitas!",0.0
"Ordering local specialties supports the cafe's culture, mendukung budaya kafe!",0.0
"Sharing your favorite cafe spots with friends builds connections, membangun koneksi!",0.0
"Enjoying a quiet coffee break at the cafe is a form of self-care, bentuk perawatan diri!",0.0
"Expressing gratitude to cafe staff spreads warmth, menyebarkan kehangatan!",0.0
"Bringing positivity to cafes through friendly gestures uplifts everyone, membuat semua orang lebih baik!",0.0
"Recommending a cafe's signature drink shows support, menunjukkan dukungan!",0.0
"Organizing small events in cafes brings the community together, menyatukan komunitas!",0.0
"Encouraging cafe staff during busy hours shows kindness, menunjukkan kebaikan!",0.0
"Offering to help clear the table at a busy cafe is considerate, sangat penuh perhatian!",0.0
"Supporting cafes that employ local artists reflects community spirit, mencerminkan semangat komunitas!",0.0
"Participating in cafe-hosted events fosters a sense of belonging, membangun rasa memiliki!",0.0
"Appreciating the cafe's effort to create a comfortable space makes a difference, membuat perbedaan!",0.0
"Respecting the cafe's seating time limits shows fairness, menunjukkan keadilan!",0.0
"Sharing positive reviews of cafes helps small businesses grow, membantu bisnis kecil berkembang!",0.0
"Complaining loudly about flight delays at the airport is rude, sangat kasar!",1.0
"Mocking airport staff for their uniforms shows arrogance, menunjukkan kesombongan!",1.0
"Using slurs towards security officers at the airport is hateful, penuh kebencian!",1.0
"Blaming airport staff for long queues during check-in is unreasonable, sangat tidak masuk akal!",1.0
"Insulting other passengers for their luggage choices is petty, sangat kekanak-kanakan!",1.0
"Criticizing the airport's cleanliness doesn't make you sophisticated, tidak membuatmu lebih berkelas!",1.0
"Spreading false rumors about airport safety is malicious, sangat jahat!",1.0
"Mocking people for flying economy class is judgmental, sangat menghakimi!",1.0
"Discriminating against travelers based on their appearance is cruel, sangat kejam!",1.0
"Yelling at the gate staff for flight rescheduling is disrespectful, sangat tidak menghormati!",1.0
"Blaming the airport for weather-related delays is not their fault, bukan salah mereka!",1.0
"Insulting passengers for using budget airlines is unnecessary, sangat tidak perlu!",1.0
"Shouting at the airline counter for ticket prices is uncalled for, sangat tidak sopan!",1.0
"Using sexist remarks while waiting in the airport lounge creates a toxic atmosphere, menciptakan suasana toksik!",1.0
"Encouraging others to avoid an airport due to personal grievances is spiteful, sangat dengki!",1.0
"Criticizing airport announcements loudly shows lack of manners, menunjukkan kurangnya tata krama!",1.0
"Mocking passengers for their choice of travel class is unnecessary, sangat tidak perlu!",1.0
"Blaming the airport's atmosphere for your mood is unfair, sangat tidak adil!",1.0
"Judging people who travel for leisure is none of your business, bukan urusanmu!",1.0
"Spreading hate speech about airport staff is toxic, sangat toksik!",1.0
"Complaining about the airport's schedule loudly is rude, sangat kasar!",1.0
"Using inappropriate language towards airport cleaners shows no respect, menunjukkan kurangnya hormat!",1.0
"Mocking the airport's choice of facilities is arrogant, sangat arogan!",1.0
"Criticizing the airport's lighting loudly is pointless, sangat tidak berguna!",1.0
"Insulting travelers for not flying first class is unnecessary, sangat tidak perlu!",1.0
"Complimenting airport staff for their hard work makes their day, membuat hari mereka lebih baik!",0.0
"Supporting local shops at the airport boosts the community's economy, meningkatkan ekonomi komunitas!",0.0
"Sharing kind feedback with the check-in officer creates a warm atmosphere, menciptakan suasana yang hangat!",0.0
"Trying out new routes from the airport shows a sense of adventure, menunjukkan rasa petualangan!",0.0
"Thanking the airport's security for their service brings positivity, membawa hal positif!",0.0
"Recommending the airport's amenities to friends supports local businesses, mendukung bisnis lokal!",0.0
"Encouraging safe travel practices at the airport shows thoughtfulness, menunjukkan kepedulian!",0.0
"Appreciating the airport's efforts during peak hours supports public transport culture, mendukung budaya transportasi umum!",0.0
"Leaving a small tip for porters reflects your gratitude, menunjukkan rasa terima kasihmu!",0.0
"Respecting airport rules shows consideration for others, menunjukkan rasa pertimbangan untuk orang lain!",0.0
"Enjoying a quiet break in the airport lounge is a form of relaxation, bentuk relaksasi!",0.0
"Engaging in friendly conversation with fellow travelers builds community, membangun komunitas!",0.0
"Complimenting the airport's architecture adds to the positive environment, menambah lingkungan yang positif!",0.0
"Supporting the airport's recycling initiatives promotes sustainability, mempromosikan keberlanjutan!",0.0
"Sharing positive reviews of the airport's services helps it grow, membantu layanan bandara berkembang!",0.0
"Thanking airport cleaners for their work shows respect, menunjukkan rasa hormat!",0.0
"Traveling responsibly through airports sets a good example, memberikan contoh yang baik!",0.0
"Respecting airport quiet zones fosters a peaceful atmosphere, mendorong suasana yang damai!",0.0
"Encouraging friends to try public transportation spreads eco-friendliness, menyebarkan kepekaan lingkungan!",0.0
"Organizing family trips from the airport strengthens bonds, memperkuat ikatan keluarga!",0.0
"Participating in airport community events promotes fun and learning, mendorong kesenangan dan pembelajaran!",0.0
"Offering to help a traveler with directions shows care, menunjukkan kepedulian!",0.0
"Respecting everyone's choice of travel class fosters inclusivity, mendorong inklusivitas!",0.0
"Cheering for airport events shows community support, menunjukkan dukungan untuk komunitas!",0.0
"Encouraging airports to support local artists builds cultural appreciation, membangun apresiasi budaya!",0.0
"Recognizing the airport's effort to provide accessible services makes a difference, membuat perbedaan!",0.0
"Sharing your best airport experiences spreads positivity, menyebarkan hal positif!",0.0
"Anyone who likes these comics is just supporting trash culture, budaya sampah!",1.0
"This store promotes the most juvenile and sexist comics, sangat sexist dan konyol!",1.0
"Collectors here are just nerds wasting their lives, buang-buang waktu saja!",1.0
"The owner sells overpriced garbage, not real collectibles, hanya sampah mahal!",1.0
"These comics are a disgrace to serious literature, menghina literatur serius!",1.0
"Only losers get excited about the trash this shop sells, hanya untuk pecundang!",1.0
Why support a shop that glorifies violence and sexism in its comics? sangat merusak!,1.0
"People who shop here have no taste or class, tidak punya selera atau kelas!",1.0
"It’s embarrassing to see adults reading these childish books, sangat memalukan!",1.0
"This place is a magnet for the worst kind of fanboys, tempat kumpul fanboy terburuk!",1.0
"Comic shops like this are why the genre isn’t taken seriously, membuat genre ini tidak dihormati!",1.0
"The staff here push the most offensive and crude titles, stafnya sangat tidak profesional!",1.0
"Can't believe people actually buy this low-effort artwork, karya seni rendahan!",1.0
"Supporting this store means supporting mediocrity in comics, mendukung kualitas rendah!",1.0
"These comics perpetuate harmful stereotypes, penuh dengan stereotip berbahaya!",1.0
"Real comic fans wouldn’t waste their time in this joke of a store, tidak layak untuk fans sejati!",1.0
"The selection here is a joke, only for those with no real understanding of comics, sangat buruk!",1.0
"This store’s comics are an insult to the art form, menghina bentuk seni ini!",1.0
"I feel sorry for anyone who thinks this place sells good comics, kasihan mereka!",1.0
"The culture promoted by this shop is toxic, kultur yang sangat toksik!",1.0
Who would respect a shop selling such outdated and offensive material? sangat ketinggalan zaman!,1.0
"This shop is a disaster for the local comic scene, merusak scene lokal!",1.0
"Only the lowest of comic book fans shop here, hanya untuk penggemar terendah!",1.0
"If you value quality, you’ll avoid this comic book store, hindari toko ini!",1.0
"Everyone who shops here is part of the problem with modern comics, bagian dari masalah!",1.0
"Exploring this comic shop is always a thrill, banyak koleksi menarik!",0.0
"I love the vibrant community this shop fosters among readers, komunitas yang bersemangat!",0.0
"The staff here really know their stuff, they can always recommend something great, staf yang tahu banyak!",0.0
"Such a diverse range of genres and styles, something for every taste, sangat beragam!",0.0
"This store is a treasure trove for comic collectors, surga bagi kolektor!",0.0
"I appreciate the inclusive atmosphere the shop creates, suasana yang inklusif!",0.0
"It’s great to see a comic shop that supports local artists, mendukung seniman lokal!",0.0
"They host the best events for comic book releases, acara rilis buku komik terbaik!",0.0
"You can find both classic and modern comics here, dari klasik hingga modern!",0.0
"The special editions they source are incredible, edisi khusus yang luar biasa!",0.0
"I always leave this store with something special, selalu ada yang spesial!",0.0
"The shop goes above and beyond to engage with the community, sangat terlibat dengan komunitas!",0.0
"They offer great deals on rare comics, tawaran hebat untuk komik langka!",0.0
"Every visit here adds a new favorite to my collection, selalu ada favorit baru!",0.0
"This store is a hub for creative and enthusiastic discussions, pusat diskusi kreatif!",0.0
"The workshops here help newbies understand the comic world, sangat membantu pemula!",0.0
"I respect the way they handle special orders, sangat menghargai pesanan khusus!",0.0
"You can really feel the passion for comics in this place, penuh dengan semangat komik!",0.0
"They curate their selection so well, it’s a joy to browse, menyenangkan untuk jelajahi!",0.0
"Finding a rare issue here is always possible, selalu bisa menemukan edisi langka!",0.0
"The shop’s commitment to diversity in comics is commendable, komitmen pada keberagaman!",0.0
"I’ve discovered so many new artists through their recommendations, banyak seniman baru!",0.0
"This store makes comic buying an experience, not just a purchase, pengalaman yang menyenangkan!",0.0
"Love how they celebrate comic book culture, merayakan budaya buku komik!",0.0
"It’s a place where you can really connect with other fans, tempat untuk terhubung dengan fans lain!",0.0
"This quarry management is exploitative, hanya pikirkan profit tanpa safety!",1.0
"Overworking employees without proper pay is simply inhumane, tidak adil sama sekali!",1.0
"Environmental damage from this quarry is unacceptable, mereka merusak alam sekitar!",1.0
"Mereka ignore all safety regulations, putting lives at risk every day!",1.0
"This operation is a health hazard, mengancam kesehatan pekerja dan komunitas lokal!",1.0
"Discrimination in hiring is obvious here, mereka sangat pilih kasih!",1.0
"Noise pollution from the quarry is unbearable, sangat mengganggu!",1.0
"Dust from the quarry covers our homes, management doesn’t care at all!",1.0
"Child labor in this quarry needs to be addressed immediately, sangat tidak etis!",1.0
"Korupsi dalam pengelolaan quarry ini clear as day, sangat jelas!",1.0
"The workers are treated like slaves, ini sangat tidak manusiawi!",1.0
"There’s no job security here, mereka bisa memecatmu kapan saja!",1.0
"Exploiting natural resources without giving back to the community is cruel, sangat egois!",1.0
"Pollution control here is a joke, tidak ada upaya serius!",1.0
"The safety standards are a mere formality, tidak pernah dipraktekkan!",1.0
"Management is only focused on output, not worker safety, tidak perduli keselamatan!",1.0
"Local wildlife is being destroyed by quarry operations, sangat merugikan!",1.0
"Air quality around here has plummeted since the quarry opened, sangat buruk!",1.0
"Water contamination from the quarry is a serious issue, mengancam kesehatan!",1.0
"The noise at night from the quarry prevents any peace, tidak bisa tidur!",1.0
"Dust control measures are completely inadequate, kesehatan kami terancam!",1.0
"This place is run like a dictatorship, no say from the workers, sangat otoriter!",1.0
"They’re ruining the landscape for profit, tindakan yang serakah!",1.0
"Worker rights are non-existent in this place, hak pekerja diabaikan!",1.0
"This quarry is a scar on the earth, visually and environmentally, sangat merusak!",1.0
"The quarry site is well-maintained, semua peralatan dijaga dengan baik.",0.0
"Efforts to reduce dust pollution are effective, mereka peduli lingkungan.",0.0
"Workers are provided with good health benefits, mereka mendapatkan asuransi kesehatan.",0.0
"Safety training here is top-notch, pelatihan keselamatan sangat memadai.",0.0
"Community projects by the quarry are helpful, mereka bantu masyarakat sekitar.",0.0
"There's a strong commitment to sustainable mining, komitmen mereka kuat.",0.0
"The management is transparent about their operations, operasi mereka sangat terbuka.",0.0
"Regular inspections ensure safety standards are met, pemeriksaan rutin dilakukan.",0.0
"The company invests in local infrastructure, investasi yang bermanfaat.",0.0
"Noise levels are kept within legal limits, mereka menjaga kebisingan tetap rendah.",0.0
"Proper equipment is always provided, peralatan yang diberikan selalu memadai.",0.0
"Reclamation efforts are seen as a priority, mereka serius melakukan reklamasi.",0.0
"The quarry provides stable employment, pekerjaan di sini stabil.",0.0
"Environmental impact assessments are conducted regularly, penilaian dampak lingkungan rutin.",0.0
"There is a genuine effort to improve worker conditions, upaya memperbaiki kondisi kerja.",0.0
"The quarry supports local education programs, mendukung program pendidikan lokal.",0.0
"Fair wages are given to all employees, semua pekerja mendapatkan upah yang adil.",0.0
"They have a strict non-discrimination policy, kebijakan non-diskriminasi yang ketat.",0.0
"Waste management is handled responsibly, pengelolaan limbah yang bertanggung jawab.",0.0
"Water usage is regulated to prevent shortages, penggunaan air diatur dengan baik.",0.0
"The quarry is a major employer in the region, employer utama di wilayah ini.",0.0
"Efforts to protect local wildlife are commendable, upaya perlindungan satwa liar.",0.0
"Health and safety meetings are held weekly, pertemuan kesehatan dan keselamatan mingguan.",0.0
"The operation is compliant with all legal requirements, mematuhi semua persyaratan hukum.",0.0
"Good community outreach programs are in place, program jangkauan komunitas yang baik.",0.0
"Pengadilan ini cuma penuh dengan permainan politik, no justice at all!",1.0
"Hakim di sini cuma asal ketok palu, they don’t care about the truth!",1.0
Kenapa sidang selalu mundur? Just delaying for no reason!,1.0
"Keputusan mereka selalu berpihak, totally unfair!",1.0
"Kasus sederhana aja dibikin ribet, what’s their problem?",1.0
"Hakim di sini terlalu arogant, mereka pikir they own the law!",1.0
"Penuh dengan korupsi, bagaimana bisa percaya pengadilan ini?",1.0
"Sikap petugasnya kayak raja, but they serve no one!",1.0
"Pengadilan ini cuma formalitas, hasilnya sudah ditentukan dari awal!",1.0
Lambatnya proses di sini membuat justice feels impossible!,1.0
"Mereka pikir mereka above the law, so arrogant!",1.0
"Pengacara di sini selalu bikin drama, not helping the case at all!",1.0
"Gak ada rasa kemanusiaan di sini, hanya cari keuntungan!",1.0
"Sidang di sini kayak pertunjukan, no real justice is served!",1.0
Kenapa selalu ada penundaan? Because they don’t want to work!,1.0
